"index";"asin";"Title";"Type";"salesrank";"si";"sii";"siii";"siv";"sv"
2;"738700797";"Candlemas: Feast of Flames";"Book";"168596";"738700827";"1567184960";"1567182836";"738700525";"738700940"
3;"486287785";"World War II Allied Fighter Planes Trading Cards";"Book";"1270652";"";"";"";"";""
4;"842328327";"Life Application Bible Commentary: 1 and 2 Timothy and Titus";"Book";"631289";"842328130";"830818138";"842330313";"842328610";"842328572"
5;"1577943082";"Prayers That Avail Much for Business: Executive";"Book";"455160";"157794349X";"892749504";"1577941829";"892749563";"1577946006"
6;"486220125";"How the Other Half Lives: Studies Among the Tenements of New York";"Book";"188784";"486401960";"452283612";"486229076";"714840343";"374528993"
7;"B00000AU3R";"Batik";"Music";"5392";"B00002616C";"B0000261KX";"B00006AM8D";"B000059OB9";"B0000261O7"
8;"231118597";"Losing Matt Shepard";"Book";"277409";"B000067D0Y";"375727191";"080148605X";"1560232579";"300089023"
9;"1859677800";"Making Bread: The Taste of Traditional Home-Baking";"Book";"949166";"";"";"";"";""
10;"375709363";"The Edward Said Reader";"Book";"220379";"039474067X";"679730672";"679750541";"1400030668";"896086704"
11;"871318237";"Resetting the Clock: Five Anti-Aging Hormones That Improve and Extend Life";"Book";"412962";"1591200695";"60984341";"553577514";"1571742972";"962741817"
14;"B00004W1W1";"Later...";"Music";"390624";"";"";"";"";""
15;"1559362022";"Wake Up and Smell the Coffee";"Book";"518927";"1559360968";"1559361247";"1559360828";"1559361018";"743214552"
16;"195110382";"War at Sea: A Naval History of World War II";"Book";"631564";"1585741485";"140246967";"1557504288";"374205183";"553802577"
17;"849311012";"Telecommunications Cost Management";"Book";"570183";"71410546";"1580531784";"1578200326";"B0000A2W55";""
18;"B000007R0T";"Sol to Soul";"Music";"109301";"B000059QC1";"B00000JQIE";"B00029J1X6";"B0006TRO68";"B000002L7F"
19;"078510870X";"Ultimate Marvel Team-Up";"Book";"612475";"785114572";"078511078X";"785114033";"785114041";"785113126"
20;"3895780812";"Computed Tomography: Fundamentals, System Technology, Image Quality, Applications";"Book";"179448";"865778973";"71343547";"721662854";"721681735";"819444251"
21;"790747324";"The Time Machine";"DVD";"795";"B00007JMD8";"6305350221";"B00004RF9B";"B00005JKFR";"B00005NG6A"
22;"B00005NTSV";"Come What May";"Music";"83369";"B00000JCDS";"B000004CSZ";"B00016XN6Q";"B00005LLY3";"B00023B1UI"
23;"393049388";"Strange Fire: A Novel";"Book";"1277867";"";"";"";"";""
24;"553525476";"The Casebook of Sherlock Holmes, Volume 2 (Casebook of Sherlock Holmes)";"Book";"1545277";"";"";"";"";""
25;"939165252";"Jailed for Freedom: American Women Win the Vote";"Book";"326756";"059500055X";"B00026L9CU";"471426121";"791453200";"674106539"
26;"1590930509";"Chicken Little";"Book";"242571";"439078172";"899192254";"688070450";"899193498";"1577683684"
27;"231096704";"The Columbia Anthology of Gay Literature";"Book";"1119683";"385492286";"300080883";"140172483";"375707409";"520078748"
28;"1893732290";"God Knows Marriage Isn't Always Easy: 12 Ways to Add Zest (God Knows)";"Book";"745886";"189373238X";"1893732398";"609805797";"";""
29;"781718791";"Advanced Pediatric Clinical Assessment: Skills and Procedures";"Book";"677416";"71360387";"323016774";"781735114";"721601855";"721680178"
30;"471150274";"Solving Statics Problems with MathCAD";"Book";"227883";"471203092";"013061081X";"130081779";"1852331666";"70121893"
31;"895872218";"Backroad Buffets & Country Cafes: A Southern Guide to Meat-And-Threes & Down-Home Dining";"Book";"507787";"1892514656";"399151834";"767908090";"";""
32;"761116982";"Staff Meals from Chanterelle";"Book";"150657";"1579652395";"393020436";"767903609";"312290233";"471287857"
33;"439240751";"Double Jeopardy (T*Witches, 6)";"Book";"97166";"439492327";"439240727";"439240719";"439240700";"61062499"
34;"B000002O8D";"Southern By the Grace of God: Lynyrd Skynyrd Tribute Tour, Vol. 1";"Music";"89264";"B0000061RJ";"B000294SBQ";"B000001Y9Z";"B000002IRC";"B00005NWLO"
35;"618111212";"Burnt Toast on Davenport Street";"Book";"317983";"395816556";"395960592";"061822694X";"395698235";"618402373"
36;"1898630038";"Uists & Barra (Pevensey Island guides)";"Book";"1406353";"";"";"";"";""
37;"B000056PNC";"Mark Messier - Leader, Champion & Legend";"DVD";"46018";"B00020W0WO";"B0000C8AO7";"B0002WZRUO";"B0000C8AO5";"B0001WTVUC"
38;"787950599";"Resolving Conflicts At Work: A Complete Guide for Everyone on the Job";"Book";"644042";"874777518";"71364315";"014028852X";"1402200552";"078795019X"
39;"312199406";"Night of Many Dreams: A Novel";"Book";"57186";"312267568";"312316089";"312099436";"312144075";"446674346"
40;"1573221740";"Renovations: A Father and Son Rebuild a House and Rediscover Each Other";"Book";"678019";"";"";"";"";""
41;"130132543";"Workbook: The Long-Term Care Nursing Assistant";"Book";"2014896";"";"";"";"";""
42;"B000056PNB";"Pixote";"DVD";"19685";"B0002LJTIG";"B00004TJRE";"B0001K2S36";"B0000DIJON";"B00006LPHE"
43;"486268780";"Selected Poems (Dover Thrift Editions)";"Book";"260300";"486275507";"486401588";"486272737";"486285537";"486264661"
44;"B000056PNE";"The NBA's 100 Greatest Plays";"DVD";"33124";"B0002IKSFC";"B0000C8AO1";"B0001WTVU2";"B00013F38U";"B0001Z37IQ"
45;"1861007418";"Beginning ASP.NET Databases using C#";"Book";"48408";"1861006098";"1861007329";"764543776";"1861007191";"1861007868"
46;"826449379";"Alternative Worlds in Fantasy Fiction (Contemporary Classics of Children's Literature)";"Book";"1115213";"889652015";"380651939";"141301163";"440418321";"689845332"
47;"590568833";"How to Kill a Monster (Goosebumps)";"Book";"654748";"439568307";"439568374";"439568412";"439568285";"043956834X"
48;"439420717";"Scooby-doo Mysteries #24 (Scooby-Doo Mysteries)";"Book";"529184";"439284899";"439284880";"043924238X";"439284864";"439188814"
49;"B00004W1WI";"Murder She Wrote";"Music";"68749";"B000066C27";"B000008M81";"B000003QL7";"";""
50;"B00004W1WK";"Still Life";"Music";"110723";"B00062P5GG";"B0002XEDSA";"B00005QK46";"B0006Q0XIM";"B0000072LP"
